function_id	symbol	stage1_semantic_disposition	function_disposition	final_owner	runtime_direct_call_site_count	caller_paths	selected_definition_candidates	external_definition_candidates	external_package_roots	source_definition_status	first_hop_basis	next_stage
"MVDM-FIRST-HOP-FUNCTION-0001"	"_close"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"4"	"softpc.new/host/src/nt_rez.c"	""	"base/crts/crtw32/lowio/close.c:73@0273306372eb50246611c5dbd5a7ba3f1eac9133b63542f5530f5342753514b7;base/crts/crtw32/lowio/close.c:106@0273306372eb50246611c5dbd5a7ba3f1eac9133b63542f5530f5342753514b7;base/crts/crtw32/lowio/close.c:185@0273306372eb50246611c5dbd5a7ba3f1eac9133b63542f5530f5342753514b7;res/oldcrt/crt32/lowio/close.c:62@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32/lowio/close.c:93@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32st/lowio/close.c:62@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32st/lowio/close.c:93@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32psx/lowio/close.c:62@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32psx/lowio/close.c:93@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32nt/lowio/close.c:62@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32nt/lowio/close.c:93@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32dll/lowio/close.c:62@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;res/oldcrt/crt32dll/lowio/close.c:93@9368f2d0ca26ef47f0c5a881ee6a3255f15c6c5d18d7b1c8d0638d12bdcbc93f;nt/private/sdktools/vctools/crt/crtw32/lowio/close.c:73@0273306372eb50246611c5dbd5a7ba3f1eac9133b63542f5530f5342753514b7;nt/private/sdktools/vctools/crt/crtw32/lowio/close.c:106@0273306372eb50246611c5dbd5a7ba3f1eac9133b63542f5530f5342753514b7;nt/private/sdktools/vctools/crt/crtw32/lowio/close.c:185@0273306372eb50246611c5dbd5a7ba3f1eac9133b63542f5530f5342753514b7;nt/private/net/ras/src/rasfile/rftest.c:201@c5fec6d3efe63d7529eb53917567113b6d010f3c208535de3cc319d8cf35649a"	"base/crts;nt/private;res/oldcrt"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0002"	"_llseek"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"6"	"bde/bdesym.c;softpc.new/host/src/nt_pif.c;vdmexts/sym.c;vdmutils/pifedit/pifsubs.c"	""	"base/win32/client/lcompat.c:189@4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b;nt/private/windows/base/client/lcompat.c:189@4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"base/win32/client;nt/private"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0003"	"_lopen"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"softpc.new/host/src/nt_pif.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0004"	"_lread"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"7"	"bde/bdesym.c;softpc.new/host/src/nt_pif.c;vdmexts/sym.c;vdmutils/pifedit/pifsubs.c"	""	"base/win32/client/lcompat.c:124@4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b;nt/private/windows/base/client/lcompat.c:124@4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"base/win32/client;nt/private"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0005"	"_lseek"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"2"	"softpc.new/host/src/nt_rez.c"	""	"base/crts/crtw32/lowio/lseek.c:90@4b153ccec92615b1caea0bb3efcb8d0ac966c183e835677068826f1c5c17f0db;base/crts/crtw32/lowio/lseek.c:129@4b153ccec92615b1caea0bb3efcb8d0ac966c183e835677068826f1c5c17f0db;base/crts/crtw32/lowio/lseek.c:223@4b153ccec92615b1caea0bb3efcb8d0ac966c183e835677068826f1c5c17f0db;res/oldcrt/crt32/lowio/lseek.c:76@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32/lowio/lseek.c:116@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32st/lowio/lseek.c:76@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32st/lowio/lseek.c:116@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32psx/lowio/lseek.c:76@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32psx/lowio/lseek.c:116@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32nt/lowio/lseek.c:76@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32nt/lowio/lseek.c:116@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32dll/lowio/lseek.c:76@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;res/oldcrt/crt32dll/lowio/lseek.c:116@5721c45057a8cbd6032552899b3e1ff8dd65487c37140497387fe44ef979cc6a;nt/private/sdktools/vctools/crt/crtw32/lowio/lseek.c:90@4b153ccec92615b1caea0bb3efcb8d0ac966c183e835677068826f1c5c17f0db;nt/private/sdktools/vctools/crt/crtw32/lowio/lseek.c:129@4b153ccec92615b1caea0bb3efcb8d0ac966c183e835677068826f1c5c17f0db;nt/private/sdktools/vctools/crt/crtw32/lowio/lseek.c:223@4b153ccec92615b1caea0bb3efcb8d0ac966c183e835677068826f1c5c17f0db"	"base/crts;nt/private;res/oldcrt"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0006"	"_lwrite"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"vdmutils/pifedit/pifsubs.c"	""	"base/win32/client/lcompat.c:145@4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b;nt/private/windows/base/client/lcompat.c:145@4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"base/win32/client;nt/private"	"source-definition-candidates-recorded"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0007"	"_open"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"4"	"softpc.new/host/src/nt_rez.c"	""	"base/crts/crtw32/lowio/open.c:526@92bb46dfc94de50f3348c4d96ce692cdad7d880b8711f464c5547292ae187e89;res/oldcrt/crt32/lowio/open.c:112@72ae3f49fcb5e4f50dde1ed7c85b141e26bf0a06c46236de69c86fcac93e5f5c;res/oldcrt/crt32st/lowio/open.c:112@72ae3f49fcb5e4f50dde1ed7c85b141e26bf0a06c46236de69c86fcac93e5f5c;res/oldcrt/crt32psx/lowio/open.c:112@72ae3f49fcb5e4f50dde1ed7c85b141e26bf0a06c46236de69c86fcac93e5f5c;res/oldcrt/crt32nt/lowio/open.c:112@72ae3f49fcb5e4f50dde1ed7c85b141e26bf0a06c46236de69c86fcac93e5f5c;res/oldcrt/crt32dll/lowio/open.c:112@72ae3f49fcb5e4f50dde1ed7c85b141e26bf0a06c46236de69c86fcac93e5f5c;nt/private/sdktools/vctools/crt/crtw32/lowio/open.c:526@92bb46dfc94de50f3348c4d96ce692cdad7d880b8711f464c5547292ae187e89"	"base/crts;nt/private;res/oldcrt"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0008"	"_read"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"softpc.new/host/src/nt_rez.c"	""	"base/crts/crtw32/hack/stubs.c:41@9b8d32a7477586d113c1116d34b28cf19d14262babd057dbc3102e7cfaf7a07a;base/crts/crtw32/lowio/read.c:100@55985f167ba6009a576dcd020125df054df4218fa1fa4cdaa14414ea51b60c15;base/crts/crtw32/lowio/read.c:144@55985f167ba6009a576dcd020125df054df4218fa1fa4cdaa14414ea51b60c15;base/crts/crtw32/lowio/read.c:345@55985f167ba6009a576dcd020125df054df4218fa1fa4cdaa14414ea51b60c15;res/oldcrt/crt32/lowio/read.c:84@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32/lowio/read.c:130@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32/hack/stubs.c:40@a8d59d0affd36053cce23efbcc3e1a5bfc8685a2d4a87a1e9ebe693bfcc16a02;res/oldcrt/crt32st/lowio/read.c:84@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32st/lowio/read.c:130@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32st/hack/stubs.c:40@a8d59d0affd36053cce23efbcc3e1a5bfc8685a2d4a87a1e9ebe693bfcc16a02;res/oldcrt/crt32psx/lowio/read.c:84@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32psx/lowio/read.c:130@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32psx/hack/stubs.c:40@a8d59d0affd36053cce23efbcc3e1a5bfc8685a2d4a87a1e9ebe693bfcc16a02;res/oldcrt/crt32nt/lowio/read.c:84@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32nt/lowio/read.c:130@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32nt/hack/stubs.c:40@a8d59d0affd36053cce23efbcc3e1a5bfc8685a2d4a87a1e9ebe693bfcc16a02;res/oldcrt/crt32dll/lowio/read.c:84@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32dll/lowio/read.c:130@bc4c2e3e7a10914adf0c4f43f89ba4dd5dfe82972b2cd63b4edb1a5eaa750c4b;res/oldcrt/crt32dll/hack/stubs.c:40@a8d59d0affd36053cce23efbcc3e1a5bfc8685a2d4a87a1e9ebe693bfcc16a02;nt/private/sdktools/vctools/crt/crtw32/lowio/read.c:100@55985f167ba6009a576dcd020125df054df4218fa1fa4cdaa14414ea51b60c15;nt/private/sdktools/vctools/crt/crtw32/lowio/read.c:144@55985f167ba6009a576dcd020125df054df4218fa1fa4cdaa14414ea51b60c15;nt/private/sdktools/vctools/crt/crtw32/lowio/read.c:345@55985f167ba6009a576dcd020125df054df4218fa1fa4cdaa14414ea51b60c15;nt/private/sdktools/vctools/crt/crtw32/hack/stubs.c:41@9b8d32a7477586d113c1116d34b28cf19d14262babd057dbc3102e7cfaf7a07a"	"base/crts;nt/private;res/oldcrt"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0009"	"_snwprintf"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"base/win32/server/srvinit.c"	""	"base/crts/crtw32/stdio/swprintf.c:89@8459299c7b1df1cf69053146df5486e3cd5cb33865ff2bc8243e2c09d9325121;res/oldcrt/crt32/stdio/swprintf.c:82@105307517663ae4e06eaa227e11414795ac48e16011805203c3b4f2bbbd5b6f5;res/oldcrt/crt32st/stdio/swprintf.c:82@105307517663ae4e06eaa227e11414795ac48e16011805203c3b4f2bbbd5b6f5;res/oldcrt/crt32psx/stdio/swprintf.c:82@105307517663ae4e06eaa227e11414795ac48e16011805203c3b4f2bbbd5b6f5;res/oldcrt/crt32nt/stdio/swprintf.c:82@105307517663ae4e06eaa227e11414795ac48e16011805203c3b4f2bbbd5b6f5;res/oldcrt/crt32dll/stdio/swprintf.c:82@105307517663ae4e06eaa227e11414795ac48e16011805203c3b4f2bbbd5b6f5;nt/private/sdktools/vctools/crt/crtw32/stdio/swprintf.c:89@8459299c7b1df1cf69053146df5486e3cd5cb33865ff2bc8243e2c09d9325121"	"base/crts;nt/private;res/oldcrt"	"source-definition-candidates-recorded"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0010"	"_splitpath"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"dos/dem/demfcb.c"	""	"sdktools/vctools/rcdll/rc.c:1046@73b46c9f48cafa1273122544e157ca2799b7108d506a2766a4f6fbacc65e98c8;sdktools/vctools/cvtres/main.c:496@c7119c9bd6861d6a347e68a7e8a0b66f985051350b0d65f535638c4639fc0597;res/oldcrt/crt32/misc/splitpat.c:66@3884048bc1a23edfca29d8a9b5898f660d2bb03247edce90dfb267ec60375a80;res/oldcrt/crt32st/misc/splitpat.c:66@3884048bc1a23edfca29d8a9b5898f660d2bb03247edce90dfb267ec60375a80;nt/private/sdktools/vctools/rcdll/rc.c:1046@73b46c9f48cafa1273122544e157ca2799b7108d506a2766a4f6fbacc65e98c8;res/oldcrt/crt32psx/misc/splitpat.c:66@3884048bc1a23edfca29d8a9b5898f660d2bb03247edce90dfb267ec60375a80;res/oldcrt/crt32nt/misc/splitpat.c:66@3884048bc1a23edfca29d8a9b5898f660d2bb03247edce90dfb267ec60375a80;res/oldcrt/crt32dll/misc/splitpat.c:66@3884048bc1a23edfca29d8a9b5898f660d2bb03247edce90dfb267ec60375a80;nt/private/sdktools/vctools/cvtres/main.c:496@c7119c9bd6861d6a347e68a7e8a0b66f985051350b0d65f535638c4639fc0597"	"nt/private;res/oldcrt;sdktools/vctools"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
