"include_spelling"	"occurrences"	"caller_count"	"caller_paths"	"upstream_header_paths"	"upstream_package_roots"	"stage1_state"	"next_stage"	"first_hop_owner"	"first_hop_kind"
"..\..\..\..\inc\vdm.h"	"1"	"1"	"softpc.new/base/system/idetect.c"	"base/win32/client/vdm.h;public/internal/base/inc/vdm.h"	"base/win32/client;public/internal/base"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"base/win32 VDM + BaseClient contract"	"external-package-or-declaration"
"\nt\private\ntos\dll\ldrp.h"	"1"	"1"	"v86/monitor/i386/proflib.c"	"base/ntdll/ldrp.h"	"base/ntdll/ldrp.h"	"non-mvdm source-package candidate; resolve include path ambiguity at stage two"	"expand owning package/build boundary"	"base/ntdll loader private interface"	"external-source-package-candidate"
"aaa.h"	"2"	"2"	"softpc.new/base/ccpu386/aaa.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"aad.h"	"2"	"2"	"softpc.new/base/ccpu386/aad.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"aam.h"	"2"	"2"	"softpc.new/base/ccpu386/aam.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"aas.h"	"2"	"2"	"softpc.new/base/ccpu386/aas.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"adc.h"	"2"	"2"	"softpc.new/base/ccpu386/adc.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"add.h"	"3"	"3"	"softpc.new/base/ccpu386/add.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/xadd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"align.h"	"1"	"1"	"vdmredir/vrnmpipe.c"	"net/sockets/winsock2/wsp/ws2map/align.h;net/sockets/winsock2.nt5/wsp/ws2map/align.h;public/internal/base/inc/align.h;public/internal/ds/inc/align.h"	"net/sockets/winsock2;net/sockets/winsock2.nt5;public/internal/base;public/internal/ds"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"base/win32 VDM + BaseClient contract"	"external-package-or-declaration"
"and.h"	"2"	"2"	"softpc.new/base/ccpu386/and.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
