"caller_path"	"source_line"	"symbol"	"raw_context"	"stage1_state"	"next_stage"
"bde/bdecmds.c"	"3"	"Copyright"	"Copyright (c) 1991  Microsoft Corporation"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"30"	"SETUP_WINDBG_POINTERS"	"#define SETUP_WINDBG_POINTERS( p ) {                                \"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"49"	"db"	"db("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"75"	"UNREFERENCED_PARAMETER"	"UNREFERENCED_PARAMETER(CurrentPc);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"80"	"SETUP_WINDBG_POINTERS"	"SETUP_WINDBG_POINTERS(ExtensionApis);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"81"	"DumpMemory"	"DumpMemory(1);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"86"	"dw"	"dw("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"112"	"UNREFERENCED_PARAMETER"	"UNREFERENCED_PARAMETER(CurrentPc);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"117"	"SETUP_WINDBG_POINTERS"	"SETUP_WINDBG_POINTERS(ExtensionApis);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"118"	"DumpMemory"	"DumpMemory(2);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"123"	"dd"	"dd("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"149"	"UNREFERENCED_PARAMETER"	"UNREFERENCED_PARAMETER(CurrentPc);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"154"	"SETUP_WINDBG_POINTERS"	"SETUP_WINDBG_POINTERS(ExtensionApis);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"155"	"DumpMemory"	"DumpMemory(4);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"160"	"dg"	"dg("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"186"	"UNREFERENCED_PARAMETER"	"UNREFERENCED_PARAMETER(CurrentPc);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"191"	"SETUP_WINDBG_POINTERS"	"SETUP_WINDBG_POINTERS(ExtensionApis);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"192"	"DumpDescriptor"	"DumpDescriptor();"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"197"	"dgh"	"dgh("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"223"	"UNREFERENCED_PARAMETER"	"UNREFERENCED_PARAMETER(CurrentPc);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"228"	"SETUP_WINDBG_POINTERS"	"SETUP_WINDBG_POINTERS(ExtensionApis);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"229"	"DumpGHeap"	"DumpGHeap();"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"235"	"es"	"es("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"261"	"UNREFERENCED_PARAMETER"	"UNREFERENCED_PARAMETER(CurrentPc);"	"external-or-macro invocation candidate"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"266"	"SETUP_WINDBG_POINTERS"	"SETUP_WINDBG_POINTERS(ExtensionApis);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"267"	"CheckGlobalHeap"	"if (!CheckGlobalHeap()) {"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"270"	"EvaluateSymbol"	"EvaluateSymbol();"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"275"	"help"	"help("	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"282"	"SETUP_WINDBG_POINTERS"	"SETUP_WINDBG_POINTERS(ExtensionApis);"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"284"	"PRINTF"	"PRINTF(""[db|dw|dd] addr - Dump 16-bit memory\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"285"	"PRINTF"	"PRINTF(""dg <sel>        - Dump info on a selector\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"286"	"PRINTF"	"PRINTF(""dgh <sel>       - Dump global heap\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
"bde/bdecmds.c"	"287"	"PRINTF"	"PRINTF(""es <symbol>     - Get symbol's value\n"");"	"selected-MVDM lexical definition exists"	"resolve declaration, definition package, macro owner or public API leaf"
