ledger0_identity	mvdm_host_subtree	zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	linkage	inbound_evidence	body_parse_result	condition_context	condition_evidence	legality	reason	ledger1_disposition	replacement_owner
"MVDM-HOST-ZERO1-000001"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|49"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"49"	"db"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000002"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|86"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"86"	"dw"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000003"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|123"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"123"	"dd"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000004"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|160"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"160"	"dg"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000005"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|197"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"197"	"dgh"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000006"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|235"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"235"	"es"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000007"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|275"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"275"	"help"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000008"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|299"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"299"	"k"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000009"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|340"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"340"	"kb"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000010"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|381"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"381"	"lm"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
